,product,year,anomaly_score,normalized_anomaly_score,num_edges
48,853720,2019,1.2479752,0.018641233,4665
49,853720,2022,1.3612502,0.024895336,4422
50,853720,2020,1.0244659,0.0029323276,4480
51,853720,2017,0.95267993,-0.0027954516,4653
52,853720,2018,0.8467798,-0.009821873,4637
53,853720,2021,1.2779261,0.019757258,4538
54,853530,2019,0.90768224,-0.002372113,3735
55,853530,2022,1.3935102,0.0123510575,3600
56,853530,2020,0.82010835,-0.005143428,3547
57,853530,2017,0.7897557,-0.0057804696,3705
58,853530,2018,0.5877016,-0.011765863,3838
59,853530,2021,0.9407084,-0.0015771341,3616
60,846130,2019,1.0690023,0.006847528,489
61,846130,2022,0.22984238,-0.056080908,518
62,846130,2020,0.50182736,-0.036293995,442
63,846130,2017,0.7835315,-0.014081616,508
64,846130,2018,1.1772897,0.015181494,494
65,846130,2021,0.24235538,-0.0563322,464
66,902710,2019,1.8769134,0.039235156,5566
67,902710,2022,1.5472403,0.025190225,5840
68,902710,2020,1.4941355,0.023709146,5575
69,902710,2017,2.2831442,0.0568119,5210
70,902710,2018,2.2676368,0.05554112,5466
71,902710,2021,1.7542534,0.035126008,5891
72,841950,2019,1.4105543,0.026673652,5581
73,841950,2022,1.6488733,0.0386794,5669
74,841950,2020,1.1883116,0.012963291,5405
75,841950,2017,1.0709482,0.0060085463,5402
76,841950,2018,1.3553677,0.02470348,5523
77,841950,2021,1.2496529,0.015763318,5669
78,847930,2019,0.8944836,-0.0063471817,1602
79,847930,2022,0.49650642,-0.025850676,1475
80,847930,2020,0.7465678,-0.0129434625,1421
81,847930,2017,0.7121211,-0.014379536,1647
82,847930,2018,1.3863999,0.021179015,1650
83,847930,2021,1.2092477,0.012180435,1463
84,901210,2019,3.107948,0.09179315,1717
85,901210,2022,2.2960887,0.058450047,1678
86,901210,2020,2.471604,0.06352459,1607
87,901210,2017,3.716372,0.18840243,1612
88,901210,2018,4.416159,0.16880578,1651
89,901210,2021,2.8720372,0.082262635,1712
90,848240,2019,0.8974732,-0.0032923382,4608
91,848240,2022,1.0668306,0.0026854398,4601
92,848240,2020,0.65479004,-0.01191952,4523
93,848240,2017,1.6152487,0.021769898,4300
94,848240,2018,1.0403069,0.0015460382,4487
95,848240,2021,0.9594039,-0.0012480086,4650
96,848280,2019,0.55515325,-0.015706029,6313
97,848280,2022,0.71532655,-0.0098851565,6060
98,848280,2020,0.40418503,-0.021322843,6051
99,848280,2017,0.9595678,-0.0013265968,6204
100,848280,2018,0.63756996,-0.012668429,6276
101,848280,2021,0.7045414,-0.010359825,6160
102,902780,2019,1.5111169,0.022374058,7557
103,902780,2022,1.8162402,0.033980925,7062
104,902780,2020,1.6340916,0.02676131,7345
105,902780,2017,1.636679,0.030281646,7355
106,902780,2018,1.7403201,0.033176936,7492
107,902780,2021,1.8187864,0.034452505,7689
108,853210,2019,0.7685041,-0.012616195,3193
109,853210,2022,0.5018684,-0.027955592,3113
110,853210,2020,0.40220773,-0.034125756,3125
111,853210,2017,0.66351074,-0.018808497,3155
112,853210,2018,0.63456917,-0.020798232,3194
113,853210,2021,0.51432776,-0.027031278,3205
114,841229,2019,1.6536483,0.018652426,5101
115,841229,2022,0.92306316,-0.0018438698,5070
116,841229,2020,1.4365641,0.012983885,4970
117,841229,2017,1.2150942,0.005999458,4998
118,841229,2018,2.3777092,0.03769195,5165
119,841229,2021,1.4072028,0.012299183,5187
120,750110,2019,0.5917479,-0.036970716,150
121,750110,2022,2.2218099,0.14560215,260
122,750110,2020,0.68094265,-0.026925229,132
123,750110,2017,0.39592606,-0.05774374,131
124,750110,2018,0.7615077,-0.017865866,111
125,750110,2021,1.2361014,0.038182348,151
126,720827,2019,0.8739588,-0.006404288,1018
127,720827,2022,1.4474972,0.038808044,955
128,720827,2020,0.42396876,-0.04216024,932
129,720827,2017,0.9531686,-0.001184571,1037
130,720827,2018,1.1710165,0.015154248,1019
131,720827,2021,1.4408661,0.03745665,1012
132,721931,2019,1.1821972,0.0057986346,1254
133,721931,2022,1.6518737,0.021596141,1133
134,721931,2020,0.82889086,-0.004768207,1211
135,721931,2017,0.79847854,-0.0052576745,1316
136,721931,2018,1.1101947,0.0035748316,1254
137,721931,2021,1.729047,0.022911688,1153
138,750711,2019,4.528986,0.300061,348
139,750711,2022,1.3243132,0.018588012,367
140,750711,2020,0.56853604,-0.021460809,357
141,750711,2017,0.35255778,-0.05856587,338
142,750711,2018,2.8247612,0.16824813,357
143,750711,2021,0.4275441,-0.029235253,374
144,722840,2019,0.9238876,-0.0041988264,1322
145,722840,2022,1.7068943,0.06547577,1224
